creator_id,creator_name,brand_name,creator_niche,product_category,campaign_date,followers,avg_views,engagement_rate,product_price,discount_rate,campaign_duration_days,planned_posts,planned_live_sessions,products_promoted,historical_conversion_rate,brand_fit_score,creator_cost,gross_margin_rate,orders,gmv,revenue,source_file
kenhcuathao_90,kenhcuathao_90,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,65700.0,531.0,0.04,1710000.0,0.0,30.0,1.0,0.0,2.0,0.02,70.0,1642500.0,0.35,75.0,129194496.82,129194496.82,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
tieumy4114,tieumy4114,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,7004.0,1926.55,0.04,1710000.0,0.0,30.0,0.0,40.0,1.0,0.02,70.0,1000000.0,0.35,74.0,126751283.76,126751283.76,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
nhasangtaonoidung1992,nhasangtaonoidung1992,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,8226.0,302.5,0.04,1710000.0,0.0,30.0,1.0,3.0,2.0,0.02,70.0,1000000.0,0.35,72.0,123894572.43,123894572.43,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
kshappyreview68,kshappyreview68,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,3027.0,112.0,0.04,1710000.0,0.0,30.0,1.0,0.0,1.0,0.02,70.0,1000000.0,0.35,57.0,98872648.12,98872648.12,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
lamkynam85,lamkynam85,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,12800.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,56.0,97084748.38,97084748.38,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
phong.nguyn55555,phong.nguyn55555,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,9831.0,775.9649122807018,0.04,1710000.0,0.0,30.0,0.0,57.0,1.0,0.02,70.0,1000000.0,0.35,50.0,85788545.56,85788545.56,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
linhhanquoc881133,linhhanquoc881133,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,7628.0,1509.0,0.04,1710000.0,0.0,30.0,0.0,8.0,1.0,0.02,70.0,1000000.0,0.35,49.0,83865955.11,83865955.11,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
hangvu_chuyencacao,hangvu_chuyencacao,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,24700.0,5165.0,0.04,1710000.0,0.0,30.0,4.0,1.0,2.0,0.02,70.0,1000000.0,0.35,47.0,80986159.41,80986159.41,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
ngocbichsonthi,ngocbichsonthi,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,699.0,187.19148936170214,0.04,1710000.0,0.0,30.0,28.0,19.0,48.0,0.02,70.0,1000000.0,0.35,44.0,76406497.13,76406497.13,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
hng.vu40,hng.vu40,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,2139.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,43.0,75143711.41,75143711.41,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
tuyetoanh.shop,tuyetoanh.shop,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,5177.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,43.0,74367298.34,74367298.34,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
tran_thuy_phuong,tran_thuy_phuong,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1642.0,12.0,0.04,1710000.0,0.0,30.0,1.0,0.0,3.0,0.02,70.0,1000000.0,0.35,43.0,74131000.27,74131000.27,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
cobactaphoa,cobactaphoa,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1480.0,399.5833333333333,0.04,1710000.0,0.0,30.0,0.0,12.0,1.0,0.02,70.0,1000000.0,0.35,34.0,58344656.64,58344656.64,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
hello8.8,hello8.8,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,24500.0,33.0,0.04,1710000.0,0.0,30.0,1.0,0.0,4.0,0.02,70.0,1000000.0,0.35,32.0,56130352.21,56130352.21,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
the98352,the98352,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,21900.0,1154.25,0.04,1710000.0,0.0,30.0,0.0,8.0,2.0,0.02,70.0,1000000.0,0.35,32.0,54946150.23,54946150.23,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
hoaithuong8_95,hoaithuong8_95,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1664.0,845.5,0.04,1710000.0,0.0,30.0,0.0,6.0,2.0,0.02,70.0,1000000.0,0.35,30.0,52646584.53,52646584.53,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
loankim6927,loankim6927,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,14900.0,443.5,0.04,1710000.0,0.0,30.0,0.0,8.0,9.0,0.02,70.0,1000000.0,0.35,24.0,42031536.33,42031536.33,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
thuytymuoi,thuytymuoi,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1750.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,2.0,0.02,70.0,1000000.0,0.35,19.0,32705833.62,32705833.62,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
vireview35,vireview35,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1929.0,586.7837837837837,0.04,1710000.0,0.0,30.0,0.0,37.0,1.0,0.02,70.0,1000000.0,0.35,18.0,31924816.89,31924816.89,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
tunguyethouse,tunguyethouse,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,2048.0,340.90909090909093,0.04,1710000.0,0.0,30.0,0.0,11.0,8.0,0.02,70.0,1000000.0,0.35,16.0,28290592.89,28290592.89,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
manhdayne123,manhdayne123,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,2585.0,4867.222222222223,0.04,1710000.0,0.0,30.0,0.0,9.0,4.0,0.02,70.0,1000000.0,0.35,16.0,27513039.72,27513039.72,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
phanthu_85,phanthu_85,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,6367.0,261.35483870967744,0.04,1710000.0,0.0,30.0,0.0,31.0,2.0,0.02,70.0,1000000.0,0.35,13.0,23239854.63,23239854.63,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
bchngcl504,bchngcl504,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,23600.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,11.0,20103598.68,20103598.68,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
huulanh3,huulanh3,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,4685.0,441.5,0.04,1710000.0,0.0,30.0,0.0,2.0,3.0,0.02,70.0,1000000.0,0.35,11.0,20010626.35,20010626.35,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
__huyentrangpham,__huyentrangpham,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,6308.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,10.0,18661976.77,18661976.77,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
sharamai135,sharamai135,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1187.0,330.6,0.04,1710000.0,0.0,30.0,3.0,7.0,5.0,0.02,70.0,1000000.0,0.35,10.0,18309143.77,18309143.77,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
vanh140424,vanh140424,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1991.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,10.0,18247080.47,18247080.47,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
hungtran1212e,hungtran1212e,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,2677.0,345.2,0.04,1710000.0,0.0,30.0,0.0,5.0,1.0,0.02,70.0,1000000.0,0.35,9.0,15650326.42,15650326.42,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
thutu80,thutu80,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,14900.0,665.5,0.04,1710000.0,0.0,30.0,0.0,2.0,2.0,0.02,70.0,1000000.0,0.35,9.0,15579147.68,15579147.68,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
tuyt.xinh13,tuyt.xinh13,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1263.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,8.0,14342839.7,14342839.7,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
ha.hoang6850,ha.hoang6850,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,7601.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,7.0,13469748.95,13469748.95,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
c.tn.ko.t8,c.tn.ko.t8,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,754.0,591.8888888888889,0.04,1710000.0,0.0,30.0,0.0,9.0,1.0,0.02,70.0,1000000.0,0.35,7.0,13409045.43,13409045.43,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
trang.shop413,trang.shop413,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,2872.0,213.8,0.04,1710000.0,0.0,30.0,3.0,2.0,12.0,0.02,70.0,1000000.0,0.35,7.0,12605919.0,12605919.0,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
tham.store1,tham.store1,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,6217.0,77.0,0.04,1710000.0,0.0,30.0,1.0,0.0,1.0,0.02,70.0,1000000.0,0.35,7.0,12202546.75,12202546.75,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
parila_tmv,parila_tmv,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,243900.0,4202.5,0.04,1710000.0,0.0,30.0,0.0,2.0,1.0,0.02,70.0,6097500.0,0.35,7.0,11989460.08,11989460.08,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
thaobereview270691,thaobereview270691,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,4351.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,4.0,0.02,70.0,1000000.0,0.35,6.0,10606549.94,10606549.94,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
nguyenduyen205,nguyenduyen205,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,6139.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,3.0,0.02,70.0,1000000.0,0.35,5.0,10149487.55,10149487.55,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
hang_cm99,hang_cm99,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,5114.0,145.25,0.04,1710000.0,0.0,30.0,0.0,12.0,1.0,0.02,70.0,1000000.0,0.35,5.0,9765419.01,9765419.01,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
bapxinh16889,bapxinh16889,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1478.0,468.9375,0.04,1710000.0,0.0,30.0,0.0,16.0,3.0,0.02,70.0,1000000.0,0.35,5.0,9442107.26,9442107.26,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
luumoon277,luumoon277,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,2018.0,802.0,0.04,1710000.0,0.0,30.0,3.0,1.0,4.0,0.02,70.0,1000000.0,0.35,5.0,9417861.32,9417861.32,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
kim__hue,kim__hue,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,3661.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,5.0,9097728.02,9097728.02,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
hgkhoa1910,hgkhoa1910,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,7214.0,8700.461538461539,0.04,1710000.0,0.0,30.0,0.0,13.0,1.0,0.02,70.0,1000000.0,0.35,5.0,8961031.16,8961031.16,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
lacdariviu,lacdariviu,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,693.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,4.0,8010721.02,8010721.02,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
ngc.th4786,ngc.th4786,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,4382.0,192.0,0.04,1710000.0,0.0,30.0,0.0,4.0,1.0,0.02,70.0,1000000.0,0.35,4.0,7967028.66,7967028.66,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
mebo1812,mebo1812,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1819.0,463.2,0.04,1710000.0,0.0,30.0,1.0,14.0,1.0,0.02,70.0,1000000.0,0.35,4.0,7690614.37,7690614.37,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
tamskincare,tamskincare,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,20300.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,4.0,7544485.69,7544485.69,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
mayruaxe.momen,mayruaxe.momen,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1398.0,86.8,0.04,1710000.0,0.0,30.0,0.0,10.0,44.0,0.02,70.0,1000000.0,0.35,4.0,7282702.26,7282702.26,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
senabeautyafff,senabeautyafff,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1067.0,2576.3333333333335,0.04,1710000.0,0.0,30.0,3.0,0.0,3.0,0.02,70.0,1000000.0,0.35,4.0,7193445.27,7193445.27,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
dung.nguyen6789,dung.nguyen6789,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,388.0,135.75,0.04,1710000.0,0.0,30.0,0.0,4.0,1.0,0.02,70.0,1000000.0,0.35,3.0,6750511.19,6750511.19,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
lan_huong_85,lan_huong_85,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1496.0,163.5,0.04,1710000.0,0.0,30.0,1.0,1.0,6.0,0.02,70.0,1000000.0,0.35,3.0,6597013.13,6597013.13,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
nguyentrinhmytue,nguyentrinhmytue,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,967.0,50.06666666666667,0.04,1710000.0,0.0,30.0,14.0,1.0,7.0,0.02,70.0,1000000.0,0.35,3.0,5997749.72,5997749.72,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
lai.ha16,lai.ha16,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,2031.0,172.83333333333334,0.04,1710000.0,0.0,30.0,0.0,6.0,3.0,0.02,70.0,1000000.0,0.35,3.0,5694465.96,5694465.96,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
hatran...x,hatran...x,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1545.0,154.66666666666666,0.04,1710000.0,0.0,30.0,1.0,2.0,2.0,0.02,70.0,1000000.0,0.35,3.0,5641816.76,5641816.76,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
conamquyhoii,conamquyhoii,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,28900.0,296.5,0.04,1710000.0,0.0,30.0,0.0,2.0,2.0,0.02,70.0,1000000.0,0.35,3.0,5483954.76,5483954.76,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
huongnguyen16_10,huongnguyen16_10,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,16900.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,3.0,5474124.14,5474124.14,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
huongbeo0902,huongbeo0902,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,549.0,484.8,0.04,1710000.0,0.0,30.0,0.0,5.0,1.0,0.02,70.0,1000000.0,0.35,3.0,5403401.92,5403401.92,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
huongtranreview,huongtranreview,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1359.0,620.5,0.04,1710000.0,0.0,30.0,0.0,2.0,1.0,0.02,70.0,1000000.0,0.35,2.0,5059519.95,5059519.95,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
kieushop7,kieushop7,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1142.0,262.0,0.04,1710000.0,0.0,30.0,0.0,3.0,4.0,0.02,70.0,1000000.0,0.35,2.0,5047096.25,5047096.25,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
linh.mokey04,linh.mokey04,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,4650.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,2.0,0.02,70.0,1000000.0,0.35,2.0,5025048.1,5025048.1,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
conlabong2021,conlabong2021,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,3589.0,230.25,0.04,1710000.0,0.0,30.0,3.0,5.0,13.0,0.02,70.0,1000000.0,0.35,2.0,4868009.76,4868009.76,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
lien19911909,lien19911909,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1123.0,253.0,0.04,1710000.0,0.0,30.0,0.0,1.0,1.0,0.02,70.0,1000000.0,0.35,2.0,4688877.49,4688877.49,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
thotihon1824,thotihon1824,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,2865.0,652.3076923076923,0.04,1710000.0,0.0,30.0,0.0,13.0,1.0,0.02,70.0,1000000.0,0.35,2.0,4490823.54,4490823.54,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
thu.long.4,thu.long.4,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,78400.0,2505.0,0.04,1710000.0,0.0,30.0,0.0,1.0,1.0,0.02,70.0,1960000.0,0.35,2.0,4125636.67,4125636.67,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
.06062000,.06062000,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1636.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,2.0,3915422.09,3915422.09,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
kimlien_967,kimlien_967,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,6555.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,2.0,3649416.09,3649416.09,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
stylefashions1221,stylefashions1221,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,37800.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,1.0,3383258.57,3383258.57,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
giadinhnhomkinh9195,giadinhnhomkinh9195,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1010.0,110.0,0.04,1710000.0,0.0,30.0,2.0,2.0,3.0,0.02,70.0,1000000.0,0.35,1.0,3318226.18,3318226.18,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
